seller,seller return rate,seller rating,Number of units sold,Number of Units Returned,brand,product type,listing price
13333,0,0.34,1,0,celine,celine sunglasses,357
13472,0,0.53,1,0,mother,crop,160
13563,0,0.51,1,0,mother,crop,160
13583,0,0.38,12,0,comme des garcons play,t-shirt,83
14016,0,0.82,2,0,comme des garcons play,t-shirt,83
14301,0,0.87,1,0,bric's,brics luggage,91
14807,0,0.56,1,0,7 for all mankind,shorts,111
14889,0,0.61,1,0,akris punto,dresses,903
14998,0,0.65,1,0,zimmermann,dresses,1295
15177,0,0.52,4,0,jonathan simkhai,dresses,382
15458,0,0.62,1,0,lacoste,boys shoes,60
15517,0,0.37,2,0,ramy brook,cover up bottoms,137
15701,0,0.51,1,0,stuart weitzman,pumps,333
15730,0,0.52,1,0,trina turk,cocktail dress,174
15757,0,0.37,3,0,aidan mattox,gown,385
15832,0,0.45,9,0,clergerie,wedges,312
16020,0,0.66,4,0,re/done,straight,193
16089,0,0.58,1,0,tory burch,high heel sandals,209
16117,0,0.57,1,0,vietri,dropship serveware,14
16135,0,0.63,2,0,vietri,dropship serveware,17
16156,0,0.8,1,0,loeffler randall,loeffler randall shoes,27
16182,0,0.48,2,0,rag & bone,trousers,207
16252,0,0.91,10,0,kobi halperin,dresses,314
16401,0,0.49,1,0,kobi halperin,dresses,314
16502,0,0.5,2,0,alexander wang,flat sandals,277
16603,0,0.83,2,0,givenchy,givenchy belts,287
16638,0,0.63,2,0,alice + olivia,blouse,277
16980,0,0.57,1,0,cinq a sept,dresses,277
17273,0,0.49,3,0,cinq a sept,dresses,277
17275,0,0.65,1,0,anastasia beverly hills,anastasia bh eyebrow,18
17365,0,0.48,1,0,anastasia beverly hills,anastasia bh eyebrow,18
17526,0,0.68,1,0,hudson jeans,shorts,95
17698,0,0.86,3,0,stella jean,t-shirt,70
17704,0,0.38,1,0,rag & bone,weather boots,438
17830,0,0.8,1,0,johnny was,knit,97
17831,0,0.56,9,0,zoe chicco,bracelets,613
17854,0,0.77,1,0,ferragamo,ferragamo slg,385
17862,0,0.84,1,0,likely,cocktail dress,160
17863,0,0.31,2,0,cle de peau beaute,makeup/foundation (cosmetics),123
17918,0,0.77,1,0,d'accori,high heel sandals,483
18083,0,0.44,2,0,schutz,high heel sandals,90
18218,0,0.58,1,0,chanel,chanel cheek,46
18263,0,0.31,2,0,chanel,chanel cheek,49
18289,0,0.43,2,0,chanel,chanel cheek,46
18670,0,0.87,8,0,nodaleto,high heel sandals,487
19191,0,0.99,1,0,reformation,dresses,209
19445,0,0.33,1,0,reformation,dresses,209
19518,0,0.92,2,0,toteme,pants,196
19527,0,0.92,14,0,loeffler randall,flat sandals,175
19680,0,0.83,16,0,moose knuckles,moose knuckles (outerwear),326
19757,0,0.42,4,0,balmain hair couture,balmain paris hair,105
19875,0,0.95,1,0,roberto coin,necklaces,742
19905,0,0.3,28,0,atm anthony thomas melillo,jumpsuit,154
4898,0,0.76,7,0,fendi,fendi sunglasses,224
7237,0,0.63,2,0,juicy couture,knits,62
7238,0,0.39,3,0,drybar,drybar hair care,97
19923,0,0.97,1,0,kay unger,gown,314
15255,0,0.35,4,0,amanda uprichard,dresses,188
17343,0,0.65,1,0,norma kamali,cocktail dress,109
19513,0,0.99,1,0,good american,shorts,69
914,0,0.58,5,0,fair harbor,swimwear,34
18927,0,0.91,2,0,rag & bone,jacket,438
3993,0,0.54,55,0,le mystere,le mystere (intimate apparel),14
7372,0,0.71,1,0,milly,jumpsuit,347
11826,0,0.4,16,0,milly,skirt,207
13957,0,0.48,2,0,lafayette 148 new york,knit,699
4215,0,0.61,6,0,rag & bone,tank,60
11907,0,0.56,1,0,zimmermann,blouse,315
17533,0,0.6,1,0,veronica beard,wedges,231
12887,0,0.44,3,0,paige,skinny,153
18466,0,0.72,3,0,milly,short coverup (swimwear),175
18346,0,0.74,2,0,gucci,sneakers,427
9199,0,0.57,1,0,fenty,fenty sunglasses,308
11043,0,0.3,1,0,elie tahari,dresses,242
15903,0,0.65,1,0,elie tahari,dresses,242
15904,0,0.98,1,0,jimmy choo,booties,627
15905,0,0.37,3,0,agua by agua bendita,long coverup (swimwear),546
16228,0,0.63,2,0,givenchy,sneakers (footwear),627
70,0,0.51,2,0,averie sleep,modern sleepwear,84
88,0,0.74,1,0,clarins,clarins treatment,38
118,0,0.53,1,0,burberry,burberry swim,336
222,0,0.62,5,0,veronica beard,dresses,419
223,0,0.85,3,0,moschino,moschino intimate apparel,91
232,0,0.65,4,0,mac duggal,gown,279
260,0,0.99,1,0,mac duggal,gown,279
336,0,0.89,6,0,mac duggal,gown,279
352,0,0.8,4,0,bytimo,dresses,315
361,0,0.46,1,0,atm anthony thomas melillo,skirt,245
371,0,0.43,1,0,atm anthony thomas melillo,skirt,245
477,0,0.81,9,0,pistola,shorts,76
1169,0,0.65,11,0,converse,sneakers (footwear),116
1331,0,0.79,1,0,jason wu collection,blouses / shirts,767
1344,0,0.34,1,0,pistola,t-shirt,45
1374,0,0.33,10,0,versace,versace underwear,88
1563,0,0.7,2,0,versace,versace underwear,88
1571,0,0.98,1,0,loeffler randall,high heel sandals,347
1646,0,0.83,3,0,common projects,sneakers (footwear),309
1653,0,0.83,1,0,joe's jeans,bottoms,25
1661,0,0.68,4,0,burberry,quilt (outerwear),665
1804,0,0.69,2,0,burberry,quilt (outerwear),665
1822,0,0.88,2,0,commando,commando/herlook (intimates),139
1828,0,0.79,1,0,lafayette 148 new york,pants,419
1883,0,0.88,3,0,l'agence,dresses,368
2005,0,0.5,8,0,proenza schouler white label,jacket,487
2683,0,0.44,1,0,fairway & greene,fairway and greene apparel,95
2981,0,0.49,1,0,samantha sung,dresses,697
2984,0,0.98,2,0,caroline rose,blouse,172
2994,0,0.42,2,0,shoshanna,1 pc bathing suit,182
3465,0,0.3,1,0,patbo,1 pc bathing suit,245
3698,0,0.67,1,0,ginger & smart,pants,336
3757,0,0.39,2,0,staud,skirt,158
3763,0,0.92,3,0,alice + olivia,skirt,175
3829,0,0.45,1,0,grosche,dropship kitchenware,39
3998,0,0.67,2,0,shani,cocktail dress,269
4077,0,0.34,2,0,good american,1 pc bathing suit,76
4102,0,0.75,1,0,good american,1 pc bathing suit,76
4123,0,0.36,4,0,jo malone london,jo bath (cometics),46
4171,0,0.63,1,0,hanky panky,hanky panky foundations,16
4181,0,0.77,4,0,shan,1 pc bathing suit,231
4408,0,0.48,2,0,wolf,dropship frames,81
4704,0,0.85,3,0,dh new york,knits,174
4998,0,0.31,3,0,aviator nation,knits,145
5120,0,0.69,1,0,isaia,trousers,417
5277,0,0.56,1,0,frances valentine,dresses,419
5493,0,0.81,3,0,diesel,denim,207
5613,0,0.7,1,0,eileen fisher,blouse,174
5622,0,0.92,4,0,joe's jeans,boyfriend (rtw),125
5718,0,0.42,5,0,joe's jeans,boyfriend (rtw),125
5743,0,0.59,1,0,theory,knits,137
5771,0,0.5,1,0,rick owens,jacket,2153
5781,0,0.73,1,0,rta,denim,270
5888,0,0.99,2,0,rta,trousers,298
5987,0,0.3,1,0,misha,cocktail dress,230
6028,0,0.56,1,0,generation love,jacket,270
6056,0,0.43,1,0,mac duggal,cocktail dress,419
6159,0,0.97,1,0,alo yoga,alo yoga apparel,41
6268,0,0.33,1,0,alo yoga,alo yoga apparel,41
6542,0,0.87,5,0,john elliott,knits,62
6616,0,0.75,1,0,christian dior,pumps,508
6941,0,0.4,3,0,varley,knits,90
6952,0,0.74,2,0,skin,skin (intimate apparel),42
7166,0,0.72,4,0,en saison,dresses,81
7253,0,0.69,1,0,ba&sh,dresses,263
7254,0,0.41,1,0,ba&sh,dresses,263
7284,0,0.74,4,0,freedom moses,flat sandals,35
7347,0,0.6,3,0,john elliott,john elliott (rtw),370
7408,0,0.49,1,0,bec & bridge,gown,210
7411,0,0.89,1,0,brock collection,skirt,623
7441,0,0.35,6,0,the great,skirt,207
7783,0,0.61,2,0,max mara,pants,228
7827,0,0.82,1,0,marc jacobs,marc by marc jacobs pouchette,245
7836,0,0.74,1,0,alexandre birman,high heel sandals,417
7978,0,0.71,39,0,guerlain,makeup,28
8262,0,0.94,1,0,guerlain,makeup,28
8415,0,0.69,1,0,guerlain,makeup,28
8584,0,0.44,3,0,guerlain,makeup,28
8716,0,0.51,2,0,ramy brook,1 pc bathing suit,174
8772,0,0.87,4,0,burberry,tall shaft boots,693
8871,0,0.71,4,0,chantecaille,foundation (cosmetics),57
8879,0,0.66,384,0,helmut lang,skirt,315
9009,0,0.42,3,0,rhode,dresses,277
9086,0,0.77,4,0,theia,cocktail dress,522
9219,0,0.98,1,0,kobi halperin,dresses,279
9480,0,0.72,1,0,kobi halperin,dresses,279
9546,0,0.93,2,0,rotate birger christensen,dresses,104
9564,0,0.72,1,0,alice + olivia,blouse,277
9629,0,0.86,2,0,bottega veneta,high heel sandals,665
9699,0,0.78,3,0,bottega veneta,high heel sandals,665
9724,0,0.59,1,0,frame,shorts,153
9778,0,0.67,6,0,alice + olivia,dresses,417
9796,0,0.89,3,0,alice + olivia,dresses,417
9878,0,0.62,1,0,alice + olivia,blouse,207
9923,0,0.4,25,0,alice + olivia,jacket,347
10171,0,0.99,2,0,patbo,dresses,455
10425,0,0.84,1,0,dolce&gabbana,dolce & gabanna (belts),438
10555,0,0.73,1,0,zuhair murad,gown,3465
10605,0,0.46,11,0,year of ours,legging,80
10717,0,0.94,7,0,saint laurent,y s l sunglasses,315
10724,0,0.58,1,0,saint laurent,y s l sunglasses,315
10898,0,0.41,1,0,ray-ban,ray-ban sunglasses,140
10993,0,0.44,3,0,ray-ban,ray-ban sunglasses,140
11059,0,0.7,13,0,kiehl's since 1851,kiehls set (treatment),28
11321,0,0.88,1,0,wayf,dresses,111
11334,0,0.78,2,0,wayf,dresses,111
11399,0,0.79,2,0,carolina herrera,cocktail,1393
11498,0,0.56,1,0,zhivago,gown,455
11540,0,0.7,1,0,linksoul,linksoul mens apparel,20
11556,0,0.37,1,0,zimmermann,dresses,697
11598,0,0.3,2,0,self-portrait,dresses,277
11654,0,0.79,1,0,rag & bone,knit,116
11842,0,0.34,2,0,ramy brook,dresses,208
11898,0,0.51,4,0,ramy brook,dresses,347
12102,0,0.43,1,0,ramy brook,dresses,347
12148,0,0.7,1,0,comme des garcons play,sneakers (footwear),105
12695,0,0.96,1,0,michael michael kors,pumps,88
12870,0,0.96,1,0,generation love,knits,209
12941,0,0.47,15,0,globber scooter,bikes/scooters,49
13096,0,0.91,1,0,common projects,sneakers (footwear),298
13136,0,0.58,1,0,badgley mischka,gown,487
13160,0,0.92,2,0,michael michael kors,jackets,179
13348,0,0.34,2,0,milly,dresses,228
13477,0,0.87,1,0,varley,tank,49
13512,0,0.55,12,0,demellier,demellier  ( handbag),347
13605,0,0.37,5,0,eton,eton of sweden dress shirts,203
13814,0,0.45,5,0,michael michael kors,dresses,228
13854,0,1,5,0,atm anthony thomas melillo,t-shirt,60
13855,0,0.65,6,0,balenciaga,sneakers,627
13895,0,0.59,6,0,coach,drivers,91
13925,0,0.69,1,0,veronica beard,blouse,279
14003,0,0.78,3,0,sana jardin,sana jardin fragrance,39
14026,0,0.79,1,0,mac duggal,gown,489
14027,0,1,1,0,mac duggal,gown,489
14080,0,0.62,2,0,rails,dresses,167
14201,0,0.89,1,0,kimberly goldson,shorts,244
14279,0,0.84,1,0,camilla,1 pc bathing suit,251
14280,0,0.3,1,0,boss,jackets/vests,151
14285,0,0.43,1,0,r h u d e,rhude socks,38
14293,0,0.73,2,0,cinq a sept,dresses,207
14402,0,0.71,1,0,hannah artwear,pants,245
14431,0,0.73,1,0,hemant & nandita,dresses,271
14514,0,0.37,2,0,hemant & nandita,dresses,271
14548,0,0.8,2,0,hemant & nandita,dresses,271
14699,0,0.3,2,0,hemant & nandita,dresses,271
14721,0,0.67,1,0,hemant & nandita,dresses,271
14764,0,0.61,14,0,barbour,barbour (sportswear),63
14854,0,0.95,1,0,amsale,cocktail dress,347
14934,0,0.47,1,0,alejandra alonso rojas,dresses,1117
14952,0,0.82,7,0,adidas by stella mccartney,sneakers,161
15030,0,0.58,13,0,simkhai,dresses,487
15219,0,0.47,1,0,boss,skirt,417
15350,0,0.92,2,0,misa los angeles,dresses,329
15417,0,0.54,2,0,burberry,burberry handbags,1505
15426,0,0.78,1,0,burberry,burberry handbags,1505
15478,0,0.99,1,0,burberry,burberry small leather goods,679
15581,0,0.86,1,0,aquazzura,slides,487
15680,0,0.93,4,0,alice + olivia,dresses,697
15739,0,0.79,3,0,simon miller,dresses,139
15792,0,1,1,0,simon miller,dresses,139
15800,0,0.55,5,0,zimmermann,dresses,1365
16116,0,0.39,3,0,polo ralph lauren,bottoms,35
16286,0,0.69,8,0,miles the label,girl dress,32
16578,0,0.32,1,0,santoni,high heel sandals,553
16735,0,0.3,1,0,gucci,high heel sandals,616
16832,0,0.86,2,0,cole haan,mules,105
16887,0,0.44,1,0,saks fifth avenue,knit,70
16945,0,0.37,1,0,pippa & julie,girl dress,41
17175,0,0.74,1,0,pippa & julie,girl dress,41
17217,0,0.87,1,0,salvatore ferragamo,ferragamo (belts),385
17245,0,0.74,1,0,cordova,outerwear,770
17280,0,0.84,1,0,cordova,outerwear,770
17442,0,0.55,2,0,cordova,outerwear,770
17549,0,0.42,1,0,st. john,dresses,1187
17564,0,0.43,1,0,trina turk,jumpsuit,174
17663,0,0.32,1,0,vintage havana,girl sweaters,48
17664,0,0.57,6,0,adriana orsini,earrings,69
17920,0,0.37,1,0,whiting & davis,whiting & davis (handbags),245
18011,0,0.55,1,0,peter millar,peter millar knits,77
18194,0,0.73,12,0,simkhai,long coverup (swimwear),347
18195,0,0.54,1,0,farm rio,jumpsuit,130
18286,0,0.5,58,0,farm rio,jumpsuit,130
18331,0,0.42,3,0,fendi,booties,903
18336,0,0.48,2,0,eton,eton of sweden dress shirts,182
18486,0,0.49,4,0,boss,clothing,34
18487,0,0.52,15,0,gucci,slides,245
18500,0,0.88,1,0,gucci,slides,315
18605,0,0.47,2,0,polo ralph lauren,t shirts,46
18659,0,0.35,2,0,vince,slides,207
18800,0,0.66,1,0,jimmy choo,mules,697
18805,0,0.57,1,0,adriana orsini,earrings,98
19184,0,0.84,1,0,hope for flowers,pants,161
19200,0,0.77,2,0,veja,sneakers (footwear),98
19259,0,0.89,2,0,venettini,dress shoes,71
19308,0,0.79,2,0,sandro,sandro rtw,312
19335,0,0.56,9,0,proenza schouler,blouse,693
19374,0,0.46,1,0,rachel parcell,dresses,160
19493,0,0.89,1,0,rachel parcell,dresses,160
19601,0,0.61,1,0,tumi,tumi,627
19675,0,0.88,2,0,puma,booties,70
19734,0,0.36,2,0,johanna ortiz,dresses,2275
19840,0,0.46,1,0,barbour,outerwear,105
19907,0,0.95,2,0,mini melissa,girl shoes,49
19996,0,0.78,3,0,kobi halperin,pants,279
1465,0,0.73,3,0,kobi halperin,pants,279
19673,0,0.71,2,0,l'agence,jacket,487
1352,0,0.96,1,0,good american,cover up tops,63
1789,0,0.97,1,0,lamarque,jacket,452
2414,0,1,2,0,ag jeans,adriano goldschmeid (rtw),158
5271,0,0.35,1,0,alice + olivia,pants,277
7993,0,0.51,4,0,bottega veneta,bottega illusione (fragrance),150
8755,0,0.83,6,0,lela rose,dresses,1253
8932,0,0.7,3,0,stella cove,swimwear,39
11329,0,0.42,2,0,stella cove,swimwear,39
12431,0,0.57,1,0,maje,maje rtw,228
13218,0,0.74,1,0,equipment,knits,207
14278,0,0.42,4,0,mac duggal,gown,349
15182,0,0.36,6,0,mac duggal,gown,349
17651,0,0.89,16,0,vince,wedges,207
18360,0,0.85,2,0,polo ralph lauren,romper/coverall/overall,28
3750,0,0.93,1,0,polo ralph lauren,romper/coverall/overall,28
4588,0,0.84,1,0,ugg,slippers,70
5242,0,0.98,3,0,who decides war,knit,158
7107,0,0.43,2,0,michele,watch straps,105
7642,0,0.44,2,0,ugg,jacket,137
11194,0,0.71,1,0,ugg,jacket,137
11912,0,0.95,15,0,ml monique lhuillier,cocktail dress,487
15171,0,0.55,2,0,merlette,skirt,210
15204,0,0.58,1,0,merlette,skirt,210
15846,0,0.52,1,0,mother,knit,256
17528,0,0.96,4,0,vix by paula hermanny,bathing suit top,97
18911,0,0.52,1,0,poupette st barth,girl dress,126
19108,0,0.45,3,0,norma kamali,cocktail dress,179
1017,0,0.4,1,0,polo ralph lauren,polo sweaters,118
4482,0,0.37,2,0,norma kamali,evening blouse/top,74
8676,0,0.86,3,0,johnny was,short coverup (swimwear),167
246,0,0.81,1,0,cinq a sept,knit,242
2832,0,0.85,8,0,shoshanna,bathing suit top,92
3116,0,0.43,1,0,misook,blouse,181
4452,0,0.36,2,0,sam edelman,booties,158
5164,0,0.3,8,0,fendi,short,735
5859,0,0.56,2,0,staud,staud (handbags),207
6378,0,0.7,4,0,mother,tops,67
6742,0,0.54,7,0,dior,christian dior mens sunglasses,336
6979,0,0.37,2,0,dior,christian dior mens sunglasses,343
7396,0,0.95,2,0,ray-ban,ray-ban sunglasses,113
7727,0,0.71,1,0,ray-ban,ray-ban sunglasses,113
7743,0,0.36,1,0,ray-ban,ray-ban sunglasses,113
7744,0,0.72,1,0,saint laurent,y s l sunglasses,189
7958,0,0.88,4,0,good american,straight,104
9133,0,0.43,2,0,nili lotan,jacket,637
10342,0,0.45,2,0,demellier,demellier  ( handbag),298
10435,0,0.36,2,0,dr. barbara sturm,lip care,39
12402,0,0.7,3,0,zimmermann,dresses,1890
13358,0,0.38,1,0,espressione,dropship kitchenware,210
13698,0,0.59,1,0,saucony,sneakers (footwear),105
14597,0,0.64,2,0,simkhai,blouse,207
14637,0,0.91,1,0,simkhai,blouse,207
15146,0,1,1,0,ramy brook,dresses,340
16072,0,0.83,2,0,mother,straight,167
16083,0,0.3,1,0,mother,straight,167
17360,0,0.46,1,0,mother,straight,167
18660,0,0.73,1,0,mother,straight,167
1318,0,0.6,1,0,gianvito rossi,booties,697
1419,0,0.95,1,0,frame,shorts,139
1899,0,0.99,2,0,frame,shorts,139
4125,0,0.4,6,0,agolde,straight,228
7859,0,0.91,1,0,agolde,straight,228
10450,0,0.87,2,0,alexander mcqueen,high heel sandals,805
12015,0,0.49,60,0,levi's,girl bottoms,24
12444,0,0.93,1,0,in bloom,in bloom (intimate apparrel),43
13092,0,0.55,3,0,cult gaia,long coverup (swimwear),230
15453,0,0.43,1,0,hard tail,girl tops,46
15471,0,0.52,1,0,farm rio,jumpsuit,158
18495,0,0.87,2,0,mac duggal,gown,349
19151,0,0.44,2,0,polo ralph lauren,sweaters/cardigans,69
19605,0,0.42,4,0,veja,sneakers,123
1341,0,0.94,1,0,christian louboutin,louboutin lip (cosmetics),63
8815,0,0.74,3,0,alice + olivia,pumps,277
11959,0,0.86,1,0,simkhai,dresses,333
11971,0,0.91,2,0,mac,mac lips (color),13
13366,0,0.71,3,0,isabel marant,pants,413
19821,0,0.5,2,0,farm rio,jumpsuit,123
19876,0,0.45,1,0,farm rio,jumpsuit,123
2150,0,0.62,1,0,farm rio,jumpsuit,123
2795,0,0.9,1,0,farm rio,jumpsuit,123
3845,0,0.66,1,0,farm rio,jumpsuit,123
7269,0,0.94,11,0,farm rio,jumpsuit,123
8044,0,0.85,5,0,farm rio,jumpsuit,123
10147,0,0.58,1,0,farm rio,jumpsuit,123
12083,0,0.67,5,0,farm rio,jumpsuit,123
12405,0,0.7,2,0,kenzo,dress,95
13260,0,0.53,1,0,baobab,1 pc bathing suit,140
14706,0,0.53,1,0,johnny was,blouse,186
15351,0,0.88,2,0,johnny was,blouse,186
17248,0,0.78,15,0,revel rey,bathing suit top,30
18787,0,0.89,1,0,revel rey,bathing suit top,30
10237,0,0.92,583,2,theory,theory knits,347
296,0,0.77,3,0,cinq a sept,dresses,256
351,0,0.54,1,0,little peixoto,swimwear,55
357,0,0.63,2,0,shoshanna,short coverup (swimwear),209
458,0,0.54,2,0,new balance,sneakers,63
746,0,0.35,4,0,chiara boni la petite robe,cocktail dress,592
1410,0,0.82,1,0,chiara boni la petite robe,cocktail dress,592
1611,0,1,1,0,christian louboutin,flip flops,207
1690,0,0.39,2,0,halston,tops,242
2024,0,0.87,3,0,kobi halperin,tops,279
2400,0,0.73,1,0,kobi halperin,tops,279
2812,0,0.78,1,0,ulla johnson,dresses,329
2911,0,0.68,1,0,staud,dresses,172
2954,0,0.49,1,0,baobab collection,candles,84
2962,0,0.88,1,0,mcm,sandals,137
3068,0,0.78,1,0,toteme,swim,189
3159,0,0.93,3,0,spanx,spanx intimate apparel,14
3303,0,0.96,3,0,swarovski,earrings,34
3486,0,0.97,2,0,swarovski,earrings,46
3550,0,0.71,2,0,alexis,dresses,277
3566,0,0.58,1,0,polo ralph lauren,polo pleat/spt/active pants,118
3929,0,0.56,2,0,maje,maje rtw,228
4327,0,0.33,1,0,balenciaga,sneakers,763
4431,0,0.43,3,0,sandro,sandro rtw,88
4694,0,0.73,3,0,rag & bone,t-shirt,81
4872,0,0.51,1,0,rag & bone,t-shirt,81
5606,0,0.6,4,0,monfrere,denim,699
6029,0,0.81,1,0,sophia webster,girl shoes,81
6222,0,0.92,14,0,smythe,jacket,487
6482,0,0.37,1,0,r h u d e,rhude accessories,134
7613,0,0.95,1,0,charlotte tilbury,skincare,39
7630,0,0.61,2,0,charlotte tilbury,skincare,39
8362,0,0.78,6,0,slip,orlane makeup (cosmetics),39
8899,0,0.78,7,0,slip,orlane makeup (cosmetics),39
9444,0,0.4,1,0,axel arigato,sneakers (footwear),193
9739,0,0.75,4,0,alice + olivia,dresses,231
11116,0,0.63,5,0,strivectin,strivectin skincare,83
11594,0,0.73,3,0,chloe,slides,333
11863,0,0.91,2,0,alexandre birman,high heel sandals,417
12004,0,0.79,1,0,alice + olivia,dresses,245
12115,0,0.35,7,0,acne studios,knits,224
12174,0,0.34,56,0,david yurman,bracelets,385
12346,0,0.63,4,0,the row,knit,1183
12704,0,0.51,43,0,erdem,knit,277
12849,0,0.74,1,0,derek lam 10 crosby,dresses,207
12953,0,0.99,1,0,derek lam 10 crosby,dresses,207
13334,0,0.5,6,0,halston,pants,312
13483,0,0.38,1,0,john varvatos,wovens,139
13649,0,0.62,1,0,temple st. clair,necklaces,840
14118,0,0.41,2,0,sabina musayev,dresses,235
14277,0,0.96,1,0,sabina musayev,dresses,235
14425,0,0.61,2,0,prada,booties,994
14808,0,0.54,5,0,veronica beard,dresses,279
14812,0,0.94,2,0,skims,dresses,41
14847,0,0.93,3,0,moncler,outerwear,1330
15403,0,0.32,2,0,moncler,outerwear,1330
15746,0,0.94,1,0,versace jeans couture,knits,245
15756,0,0.57,5,0,something navy,dresses,116
15761,0,0.3,1,0,something navy,jumpsuit,102
15820,0,0.94,1,0,l'agence,straight,221
16849,0,0.44,1,0,ginger & smart,dresses,312
16919,0,0.94,1,0,izayla,jumpsuit,193
16944,0,0.99,6,0,citizens of humanity,straight,139
17316,0,0.7,5,0,citizens of humanity,straight,139
17328,0,0.78,17,0,moncler,outerwear,1033
17435,0,0.52,1,0,regina andrew,dropship decorative home,438
18436,0,0.56,1,0,appaman,clothing accessories,6
18636,0,0.95,1,0,appaman,clothing accessories,6
19264,0,0.48,1,0,black halo,cocktail dress,209
19265,0,0.78,6,0,cinq a sept,dresses,347
19736,0,0.78,2,0,en saison,dresses,77
19758,0,0.65,1,0,kate spade new york,kate spade (handbags),139
19962,0,1,1,0,anatome,anatome wellness,55
158,0,0.94,1,0,chiara boni la petite robe,gown,763
780,0,0.86,120,0,black halo,cocktail dress,279
1523,0,0.52,1,0,jacquemus,tops,336
3147,0,0.67,1,0,sea,blouse,207
4385,0,0.33,1,0,sea,blouse,207
6093,0,0.63,2,0,sea,blouse,207
6359,0,0.38,2,0,christian louboutin,sneakers,627
6374,0,0.95,1,0,veronica beard,dresses,489
6784,0,0.85,1,0,max mara,pants,417
6968,0,0.8,4,0,joie,shorts,62
7686,0,0.47,2,0,tory burch,flat sandals,195
7712,0,0.59,2,0,sau lee,cocktail dress,277
7714,0,0.73,6,0,st. john,dresses,1047
8475,0,0.48,2,0,miraclesuit swim,1 pc bathing suit,120
8727,0,0.61,5,0,ugg,chukkas boots,91
8744,0,0.3,5,0,faherty brand,faherty apparel,139
9030,0,0.57,8,0,amsale,cocktail dress,487
9246,0,0.48,1,0,gottex swimwear,1 pc bathing suit,97
13399,0,0.72,1,0,ml monique lhuillier,cocktail dress,417
13889,0,0.61,5,0,hanro,hanro sleepwear,126
14088,0,0.33,1,0,derek lam 10 crosby,shorts,116
14696,0,1,1,0,andrea wazen,high heel sandals,487
15692,0,0.67,1,0,zimmermann,shorts,417
16434,0,0.43,1,0,aquatalia,booties,347
16611,0,0.71,1,0,trina turk,dresses,188
17483,0,0.76,2,0,saks fifth avenue,pants,195
17702,0,0.62,4,0,saks fifth avenue,pants,195
17733,0,1,1,0,versace,designer foundations,315
17908,0,0.67,2,0,think royln,think royln (handbags),104
5,0,0.6,3,0,tom ford,tom ford beauty cheek cosmetic,67
947,0,0.35,1,0,tom ford,tom ford beauty cheek cosmetic,67
1524,0,0.61,2,0,tom ford,tom ford beauty cheek cosmetic,67
2048,0,0.74,1,0,hanky panky,les coquines (int apparel),35
2532,0,0.55,5,0,sea,knit,277
3109,0,0.5,1,0,trudon,trudon home fragrance,88
3945,0,0.68,1,0,helmut lang,skirt,228
4616,0,0.95,1,0,alice + olivia,blouse,277
5484,0,0.68,1,0,alice + olivia,blouse,277
5485,0,0.76,1,0,alice + olivia,blouse,207
6267,0,0.34,3,0,cami nyc,dresses,326
8765,0,0.67,1,0,cami nyc,dresses,326
9463,0,0.47,3,0,alice + olivia,tank,207
10138,0,0.7,1,0,santoni,dress casual (footwear),525
11077,0,0.5,17,0,purple brand,denim,132
11274,0,0.65,2,0,purple brand,denim,131
11282,0,0.51,3,0,purple brand,denim,132
12495,0,0.32,6,0,purple brand,denim,131
12575,0,0.69,2,0,purple brand,denim,132
13139,0,0.55,2,0,purple brand,denim,132
14161,0,0.69,2,0,purple brand,denim,132
15000,0,0.89,1,0,purple brand,denim,132
15390,0,0.56,2,0,a.l.c.,skirt,245
15700,0,0.32,1,0,moschino,sandals,165
16707,0,0.8,1,0,alexander mcqueen,sneakers,487
16961,0,0.46,3,0,zimmermann,blouse,385
17771,0,0.75,8,0,purple brand,knits,84
18324,0,0.38,3,0,ganni,dresses,277
18784,0,0.56,1,0,hudson jeans,wide leg denim,158
8753,0,0.39,1,0,the laundress,personal care,11
11647,0,0.34,3,0,bombas,design hosiery,8
16371,0,0.83,1,0,onia,onia (beachwear),98
485,0,1,3,0,givenchy,knit,336
635,0,0.51,3,0,givenchy,knit,336
808,0,0.5,8,0,"nic+zoe, petites",tops,111
1283,0,0.69,7,0,polo ralph lauren,polo knits,174
1462,0,0.99,2,0,mille,dresses,202
1606,0,0.88,3,0,rachel parcell,skirt,83
1833,0,0.47,1,0,co,dresses,1117
1884,0,0.96,1,0,anine bing,anine bing hats,49
2319,0,0.78,1,0,zegna,z/zegna clothing,1015
2746,0,0.81,35,0,halston,gown,333
2940,0,0.69,63,0,matiere premiere,cologne cedrat fragrance,182
3427,0,0.82,1,0,byredo,young rose fragrance,193
3501,0,0.67,1,0,byredo,young rose fragrance,203
3873,0,0.37,2,0,byredo,young rose fragrance,193
4038,0,0.89,1,0,michael aram,dropship michael aram (decor),277
4130,0,0.67,3,0,aquatalia,tall shaft boots,455
4291,0,0.4,4,0,dior,dior eyes,21
4478,0,0.42,1,0,rag & bone,denim,175
5094,0,0.81,2,0,ugg,neutral shoes,70
5502,0,0.91,3,0,the north face,the north face bags,41
5515,0,0.97,1,0,ml monique lhuillier,cocktail dress,347
5562,0,0.93,1,0,milly,dresses,277
5965,0,0.6,6,0,milly,dresses,277
5967,0,0.64,1,0,tom ford,tom ford beauty cheek cosmetic,297
